Date,Open,High,Low,Close,Volume,Change,Change Percent,VWAP
6/21/2024,210.39,211.89,207.11,207.49,246421353,-2.9,-1.38,209.22
6/24/2024,207.72,212.7,206.59,208.14,80727006,0.42,0.2022,208.7875
6/25/2024,209.15,211.38,208.61,209.07,56713868,-0.08,-0.03825006,209.5525
6/26/2024,211.5,214.86,210.64,213.25,66213200,1.75,0.82742,212.5625
6/27/2024,214.69,215.74,212.35,214.1,49772707,-0.59,-0.27481,214.22
6/28/2024,215.77,216.07,210.3,210.62,82542718,-5.15,-2.39,213.19
7/1/2024,212.09,217.51,211.92,216.75,60402929,4.66,2.2,214.5675
7/2/2024,216.15,220.38,215.1,220.27,58046200,4.12,1.91,217.975
7/3/2024,220,221.55,219.03,221.55,37369801,1.55,0.70455,220.5325
7/5/2024,221.65,226.45,221.65,226.34,60412408,4.69,2.12,224.0225
7/8/2024,227.09,227.85,223.25,227.82,59085900,0.73,0.32146,226.5025
7/9/2024,227.93,229.4,226.37,228.68,48169822,0.75,0.32905,228.095
7/10/2024,229.3,233.08,229.25,232.98,62627700,3.68,1.6,231.1525
7/11/2024,231.39,232.39,225.77,227.57,64710617,-3.82,-1.65,229.28
7/12/2024,228.92,232.64,228.68,230.54,53046527,1.62,0.70767,230.195
7/15/2024,236.48,237.23,233.09,234.4,62631300,-2.08,-0.87957,235.3
7/16/2024,235,236.27,232.33,234.82,43234300,-0.18,-0.07659574,234.605
7/17/2024,229.45,231.46,226.64,228.88,57345900,-0.57,-0.24842,229.1075
7/18/2024,230.28,230.44,222.27,224.18,66034600,-6.1,-2.65,226.7925
7/19/2024,224.82,226.8,223.28,224.31,49151500,-0.51,-0.22685,224.8025
7/22/2024,227.01,227.78,223.09,223.96,48201835,-3.05,-1.34,225.46
7/23/2024,224.37,226.94,222.68,225.01,39960300,0.645,0.28524,224.75
7/24/2024,224,224.8,217.13,218.54,61777600,-5.46,-2.44,221.1175
